,Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,year
124,Vivo Nex,Vivo,Nex,4000,6.59,Yes,1080,2316,8,8000,128,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,29999,700.00 ,
125,Oppo Find X,Oppo,Find X,3730,6.42,Yes,1080,2340,8,8000,256,16,25,Android,Yes,Yes,Yes,2,Yes,Yes,59090,750.00 ,
126,Honor Play,Honor,Play,3750,6.3,Yes,1080,2340,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,18011,290.00 ,
127,Realme 1,Realme,1,3410,6,Yes,1080,2160,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,10299,135.00 ,
128,Xiaomi Mi A2,Xiaomi,Mi A2,3000,5.99,Yes,1080,2160,8,4000,64,12,20,Android,Yes,Yes,Yes,2,Yes,Yes,8990,290.00 ,
129,Honor 10,Honor,10,3400,5.84,Yes,1080,2280,8,6000,128,16,24,Android,Yes,Yes,Yes,2,Yes,Yes,16990,415.00 ,
130,Oppo F7,Oppo,F7,3400,6.23,Yes,1080,2280,8,4000,64,16,25,Android,Yes,Yes,Yes,2,Yes,Yes,18990,340.00 ,
131,Vivo X21,Vivo,X21,3200,6.28,Yes,1080,2280,8,6000,64,12,12,Android,Yes,Yes,Yes,2,Yes,Yes,18290,400.00 ,
132,Nokia 8 Sirocco,Nokia,8 Sirocco,3260,5.5,Yes,1440,2560,8,6000,128,12,5,Android,Yes,Yes,Yes,1,Yes,Yes,13999,750.00 ,
133,Infinix Hot S3,Infinix,Hot S3,4000,5.65,Yes,720,1440,8,3000,32,13,20,Android,Yes,Yes,Yes,2,Yes,Yes,9999,140.00 ,
134,Nokia 6.1,Nokia,6.1,3000,5.5,Yes,1080,1920,8,3000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,8849,270.00 ,
135,Honor View 10,Honor,View 10,3750,5.99,Yes,1080,2160,8,6000,128,16,13,Android,Yes,Yes,Yes,2,Yes,Yes,15899,500.00 ,
136,Infinix Zero 5 Pro,Infinix,Zero 5 Pro,4350,5.98,Yes,1080,1920,8,6000,128,12,16,Android,Yes,Yes,Yes,2,Yes,Yes,15900,275.00 ,
