Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,Date,Adjusted USD,Log Price
Panasonic P66 Mega,Panasonic,P66 Mega,3200,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,No,Yes,2,Yes,No,5299,$110 ,16-Feb,141.68,4.953570993
Lyf Flame 1,Lyf,Flame 1,2000,4.5,Yes,480,854,4,1000,8,5,5,Android,Yes,Yes,Yes,2,Yes,Yes,5499,$75 ,16-Feb,96.6,4.570578741
Micromax Canvas Juice 4,Micromax,Canvas Juice 4,3000,5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,3995,$90 ,16-Feb,115.92,4.752900298
Swipe Virtue,Swipe,Virtue,2500,5,No,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,No,3599,$90 ,16-Feb,115.92,4.752900298
Oppo F1,Oppo,F1,2500,5,Yes,720,1280,8,3000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8999,$250 ,16-Jan,322,5.774551546
Coolpad Note 3 Lite,Coolpad,Note 3 Lite,2500,5,Yes,720,1280,4,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4999,$105 ,16-Jan,135.24,4.907050978
Lenovo Vibe K4 Note,Lenovo,Vibe K4 Note,3300,5.5,Yes,1080,1920,8,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,8990,$180 ,16-Jan,231.84,5.446047479
Honor Holly 2 Plus,Honor,Holly 2 Plus,4000,5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,8556,$145 ,16-Jan,186.76,5.22982437
Lyf Earth 1,Lyf,Earth 1,3500,5.5,Yes,1080,1920,8,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,12999,$300 ,16-Jan,386.4,5.956873102
Onida i4G1,Onida,i4G1,2300,5,No,720,1280,1,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,5385,$125 ,16-Jan,161,5.081404365
Alcatel Pixi 4 (5),Alcatel,Pixi 4 (5),2000,5,Yes,480,854,1,1000,8,8,5,Android,Yes,No,Yes,2,Yes,Yes,2999,$80 ,16-Jan,103.04,4.635117262
Gionee Pioneer P5 mini,Gionee,Pioneer P5 mini,1850,4.5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,No,4999,$80 ,16-Jan,103.04,4.635117262
Zopo Hero 1,Zopo,Hero 1,2500,5,Yes,720,1280,4,2000,16,13.2,5,Android,Yes,Yes,Yes,2,Yes,Yes,12000,$130 ,16-Jan,167.44,5.120625078
iBall Cobalt 5.5F Youva,iBall,Cobalt 5.5F Youva,2600,5.5,Yes,720,1280,4,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,7599,$150 ,16-Jan,193.2,5.263725922
Vivo Y51L,Vivo,Y51L,2350,5,Yes,540,960,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,9099,$200 ,16-Jan,257.6,5.551407994
Lava V5,Lava,V5,3000,5.5,Yes,720,1280,4,3000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8250,$180 ,16-Jan,231.84,5.446047479
Lyf Water 2,Lyf,Water 2,2400,5,Yes,720,1280,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,7750,$200 ,16-Jan,257.6,5.551407994
Lyf Water 1,Lyf,Water 1,2600,5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4800,$170 ,16-Jan,218.96,5.388889065
Lenovo K5 Note,Lenovo,K5 Note,3500,5.5,Yes,1080,1920,8,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8990,$180 ,16-Jan,231.84,5.446047479
