asin,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
B0BV4N3VJZ,,,,,,,,,,,,,,,,,,144.13,115.36,109.33,107.29,111.82,108.15,95.25,101.49,,
B0BWS9YGRL,,,,,,,,,,,,,,,,,,,316.58,279.92,280.15,338.12,414.2,319.62,764.43,408.69,289.5
B0C1761WGM,,,,,,,,,,,,,,,,,,,569.47,376.89,300.47,273.34,297.62,260.44,238.21,277.5,287.49
B0C3RYM3GG,,,,,,,,,,,,,,,,,,,211.29,181.61,173.38,180.85,190.55,,,,
B0C4BFVH4W,,,,,,,,,,,,,,,,,,,,295.11,280.17,248.65,221.3,213.94,216.98,185.86,163.14
B0C4Q796XC,,,,,,,,,,,,,,,,,,,750.72,705.82,653.7,607.17,540.54,503.08,495.04,445.22,391.32
B0C5443MCX,,,,,,,,,,,,,,,,,,,954.36,880.84,827.66,751.89,702.61,687.55,647.92,610.57,569.06
B0C5B736X3,,,,,,,,,,,,,,,,,,,653.25,543.87,473.56,440.82,389.48,383.4,394.28,367.05,310.39
B0C63HBWD2,,,,,,,,,,,,,,,,,,,390.24,377.55,360.22,360.67,372.04,375.68,361.05,440.97,
B0C79RKMYB,,,,,,,,,,,,,,,,,,,691.32,705.56,606.08,525.53,496.22,484.35,482.14,456.31,390.4
B0CBL8D3Y3,,,,,,,,,,,,,,,,,,,,,,,328.28,326.24,599,314.99,279.99
B0CCK1Z3H1,,,,,,,,,,,,,,,,,,,,656.34,604.11,539.58,499.8,447.53,415.63,483.8,
B0CDMXJ7N6,,,,,,,,,,,,,,,,,,,,,,687.63,729.91,503.74,454.2,573,660
B0CK5T84WJ,,,,,,,,,,,,,,,,,,,,,725.09,628.11,581.45,582.47,544.38,538.92,519.66
B0CK5V7MWK,,,,,,,,,,,,,,,,,,,,1399.99,1190.91,1092.74,1104.6,1038.01,874.1,907.36,810.5
B0CKLVTDWN,,,,,,,,,,,,,,,,,,,,,245.13,233.31,229.97,244.99,186.13,145.02,
B0CMDRCZBJ,,,,,,,,,,,,,,,,,,,,,,741.13,725.28,722.25,719.95,720.91,788.36
B0CMDTFNGM,,,,,,,,,,,,,,,,,,,,,,795.82,784.55,757.46,785.43,755.37,
B0CMPLKVDB,,,,,,,,,,,,,,,,,,,,,825.23,759.2,748.8,729.88,659.74,592.93,571.67
B0CMPLZ5SW,,,,,,,,,,,,,,,,,,,,,979.97,947.37,856.98,806.28,805.58,675.17,628.69
B0CMPMY9ZZ,,,,,,,,,,,,,,,,,,,,,763.06,690.84,668.71,647.38,574.38,521.27,504.96
B0CMSN4YJD,,,,,,,,,,,,,,,,,,,,,,1037.24,984.67,852.95,826.85,757.84,798.24
B0CMT3P49Q,,,,,,,,,,,,,,,,,,,,,948.79,848.53,804.02,795.45,715.02,662.04,624.94
B0CMT4XDSC,,,,,,,,,,,,,,,,,,,,,818.23,740.63,721.49,687.03,618.7,568.1,559.01
B0CMZ42W2C,,,,,,,,,,,,,,,,,,,,,1242.09,1118.24,1057.14,983.01,827.98,767.45,812.44
B0CMZ46PHR,,,,,,,,,,,,,,,,,,,,,1478.6,1274.8,1274.31,1166.23,940.63,846.99,813.41
B0CMZDBVWT,,,,,,,,,,,,,,,,,,,,,1336.28,1135.18,1070.64,1003.09,876.56,803.95,747.56
B0CMZG4M6H,,,,,,,,,,,,,,,,,,,,,944.43,880.62,846.13,811.28,702.62,657.85,655.84
B0CMZL2TJ9,,,,,,,,,,,,,,,,,,,,,1065.23,968.21,932.84,885.36,750.09,702.36,712.32
B0CN556RQ4,,,,,,,,,,,,,,,,,,,,,570.85,550.19,545.25,569.57,521.84,507.72,472.31
B0CQ9SZJN6,,,,,,,,,,,,,,,,,,,,,,741.66,663.99,617.85,525.99,576.18,
B0CRHQ1KQT,,,,,,,,,,,,,,,,,,,,,,,825,803.86,754.65,705.44,728.6
B0CXPY8MGJ,,,,,,,,,,,,,,,,,,,,,,,441.98,374.81,342.13,366.04,
B0D2DQZPQF,,,,,,,,,,,,,,,,,,,,,,,,,,,404.5
B0D2R8LMMK,,,,,,,,,,,,,,,,,,,,,,,,,,564.97,519.99
B0D362HGNP,,,,,,,,,,,,,,,,,,,,,,,977.72,895.78,827.47,794.8,769.74
